France Government expenditure on education, total (% of GDP)

year, expenditure

"1970",3.42151999473572
"1971",3.15601992607117
"1972",3.34821009635925
"1973",3.22096991539001
"1974",4.22924995422363
"1975",4.40753984451294
"1976",4.41842985153198
"1977",4.41802978515625
"1978",4.32791996002197
"1979",4.27268981933594
"1980",4.29598999023438
"1981",4.7121000289917
"1982",4.83544015884399
"1983",4.83385992050171
"1984",4.84717988967896
"1985",4.83046007156372
"1986",4.6883602142334
"1987",4.60184001922607
"1988",4.52620983123779
"1989",4.44357013702393
"1990",4.48646020889282
"1991",4.80479001998901
"1992",4.69792985916138
"1993",5.39238023757935
"1994",5.57851982116699
"1995",5.78252983093262
"1996",5.72138977050781
"1997",,
"1998",5.65401983261108
"1999",5.63790988922119
"2000",5.49934005737305
"2001",5.43332004547119
"2002",5.42364978790283
"2003",5.7140097618103
"2004",5.63953018188477
"2005",5.50595998764038
"2006",5.45172023773193
"2007",5.43310022354126
"2008",5.43274021148682
"2009",5.73557996749878
"2010",5.67910003662109
"2011",5.51392984390259
"2012",5.52535009384155
"2013",5.49299001693726
"2014",,
"2015",,
"2016",,
